Nombre|Descripción|Ejemplo|Tag
&&|Operador AND lógico. Devuelve verdadero si ambos operandos son verdaderos.|true && false // false|Lógico
"||"|Operador OR lógico. Devuelve verdadero si al menos uno de los operandos es verdadero.|true || false // true|Lógico
!|Operador NOT lógico. Invierte el valor booleano de su operando.|!true // false|Lógico
==|Operador de igualdad. Compara dos valores sin tener en cuenta el tipo de datos.|5 == "5" // true|Comparación
===|Operador de igualdad estricta. Compara dos valores teniendo en cuenta el tipo de datos.|5 === "5" // false|Comparación
!=|Operador de desigualdad. Compara dos valores sin tener en cuenta el tipo de datos.|5 != "5" // false|Comparación
!==|Operador de desigualdad estricta. Compara dos valores teniendo en cuenta el tipo de datos.|5 !== "5" // true|Comparación
>|Operador mayor que. Compara si el operando de la izquierda es mayor que el de la derecha.|5 > 3 // true|Comparación
<|Operador menor que. Compara si el operando de la izquierda es menor que el de la derecha.|5 < 3 // false|Comparación
>=|Operador mayor o igual que. Compara si el operando de la izquierda es mayor o igual que el de la derecha.|5 >= 5 // true|Comparación
<=|Operador menor o igual que. Compara si el operando de la izquierda es menor o igual que el de la derecha.|5 <= 3 // false|Comparación
